abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	Cytosol	C00236	None	34342	1,10,2,3,4,5,6,7,8,9	
k	potassium	K	1	Cytosol, Extra-organism, Golgi Apparatus, Periplasm	C00238		34349	1,10,2,5,6,7,9	
dcmp	dCMP	C9H12N3O7P	-2	Cytosol, Extra-organism, Lysosome, Mitochondria, Nucleus, Periplasm	C00239	1032-65-1	34352	1,10,2,4,5,6,7,9	
gua	Guanine	C5H5N5O	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00242	73-40-5	34363	1,10,2,3,4,5,6,7,9	
lcts	Lactose	C12H22O11	0	Cytosol, Extra-organism, Golgi Apparatus, Lysosome, Periplasm	C00243	63-42-3	34366	1,10,2,5,7	
taur	Taurine	C2H7NO3S	0	Cytosol, Extra-organism, Periplasm, Peroxisome	C00245	107-35-7	34373	1,2,4,5	
but	Butyrate (n-C4:0)	C4H7O2	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00246	107-92-6	34376	1,2,5	
srb-L	L-Sorbose	C6H12O6	0	Cytosol, Extra-organism	C00247	87-79-6	34381	6	
lpam	Lipoamide	C8H15NOS2	0	Cytosol, Mitochondria	C00248	None	34384	10,2,4,6,7	
hdca	Hexadecanoate (n-C16:0)	C16H31O2	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Periplasm, Peroxisome	C00249	57-10-3	34386	1,10,2,4,5,6,7	
pydx	Pyridoxal	C8H9NO3	0	Cytosol, Extra-organism	C00250	66-72-8	34393	1,10,2,4,5,6	
chor	chorismate	C10H8O6	-2	Cytosol	C00251	55508-12-8	34395	1,10,3,4,5,6,7,9	
nac	Nicotinate	C6H4NO2	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00253	59-67-6	34401	1,10,2,4,5,6,7,9	
pphn	Prephenate	C10H8O6	-2	Cytosol	C00254	126-49-8	34406	1,10,3,4,5,6,7,9	
ribflv	Riboflavin	C17H20N4O6	0	Cytosol, Extra-organism, Mitochondria	C00255	83-88-5	34409	1,10,2,3,4,5,6,7,9	
lac-D	D-Lactate	C3H5O3	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00256	10326-41-7	34414	1,2,3,4,5,6,7,8	
glcn	D-Gluconate	C6H11O7	-1	Cytosol, Extra-organism, Periplasm	C00257	526-95-4	34420	1,10,4,5,7,9	
glyc-R	(R)-Glycerate	C3H5O4	-1	Cytosol, Extra-organism, Periplasm	C00258	473-81-4	34424	1,10,2,4,5,7,9	
arab-L	L-Arabinose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00259	147-81-9	34429	1,10,2,5,6	
bzal	Benzaldehyde	C7H6O	0	Cytosol	C00261	100-52-7	34431	4	
hxan	Hypoxanthine	C5H4N4O	0	Cytosol, Extra-organism, Lysosome, Periplasm, Peroxisome	C00262	68-94-0	34434	1,10,2,3,4,5,6,7,9	
hom-L	L-Homoserine	C4H9NO3	0	Cytosol, Extra-organism, Periplasm	C00263	672-15-1	34437	1,10,2,3,4,5,6,7,9	
dtt	Dithiothreitol	C4H10O2S2	0	Cytosol	C00265	3483-12-3	34442	10,2	
gcald	Glycolaldehyde	C2H4O2	0	Cytosol, Extra-organism, Mitochondria	C00266		34446	1,10,2,3,4,5,6,7,9	
dhbpt	6,7-Dihydrobiopterin	C9H13N5O3	0	Cytosol	C00268		34451	2,4	
acnam	N-Acetylneuraminate	C11H18NO9	-1	Cytosol, Extra-organism, Lysosome, Nucleus, Periplasm	C00270	131-48-6	34458	1,2,5,7	
thbpt	Tetrahydrobiopterin	C9H15N5O3	0	Cytosol, Nucleus	C00272	17528-72-2	34464	2,4	
man6p	D-Mannose 6-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00275	None	34471	1,10,2,3,5,6,7,9	
e4p	D-Erythrose 4-phosphate	C4H7O7P	-2	Cytosol, Mitochondria	C00279	585-18-2	34479	1,10,2,3,4,5,6,7,8,9	
s7p	Sedoheptulose 7-phosphate	C7H13O10P	-2	Cytosol	C00281	None	34485	1,10,2,3,4,5,6,7,8,9	
h2	H2	H2	0	Cytosol, Extra-organism, Periplasm	C00282	1333-74-0	34488	1,10,3,4,5,9	
h2s	Hydrogen sulfide	H2S	0	Cytosol, Extra-organism, Periplasm	C00283	7783-06-4	34491	1,10,3,4,5,6,7,9	
dgtp	dGTP	C10H12N5O13P3	-4	Cytosol, Mitochondria, Nucleus	C00286	2564-35-4	34502	1,10,2,3,4,5,6,7,9	
hco3	Bicarbonate	CHO3	-1	Cytosol, Extra-organism, Mitochondria, Nucleus	C00288	71-52-3	34509	1,10,2,3,4,5,6,7,9	
ni2	nickel	Ni	2	Cytosol, Extra-organism, Periplasm	C00291		34516	3,4,5,7,9	
ins	Inosine	C10H12N4O5	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00294	58-63-9	34525	1,10,2,3,4,5,6	
orot	Orotate	C5H3N2O4	-1	Cytosol, Extra-organism, Periplasm	C00295	65-86-1	34527	1,10,2,3,4,5,6,7,9	
uri	Uridine	C9H12N2O6	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Nucleus, Periplasm	C00299	58-96-8	34541	1,10,2,3,4,5,6,7	
creat	Creatine	C4H9N3O2	0	Cytosol, Extra-organism, Mitochondria	C00300	57-00-1	34543	2	
adprib	ADPribose	C15H21N5O14P2	-2	Cytosol, Extra-organism, Mitochondria	C00301		34547	2,5,6,7	
rbl-D	D-Ribulose	C5H10O5	0	Cytosol	C00309	488-84-6	34569	10,2	
xylu-D	D-Xylulose	C5H10O5	0	Cytosol	C00310	551-84-8	34575	1,10,2,5,6	
icit	Isocitrate	C6H5O7	-3	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00311	30810-51-6	34579	1,10,2,3,4,5,6,7,8,9	
xylu-L	L-Xylulose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00312	527-50-4	34584	2,5	
oxalcoa	Oxalyl-CoA	C23H31N7O19P3S	-5	Cytosol	C00313		34588	10	
pydxn	Pyridoxine	C8H11NO3	0	Cytosol, Extra-organism	C00314	65-23-6	34590	1,10,2,4,5,6	
spmd	Spermidine	C7H22N3	3	Cytosol, Extra-organism, Periplasm	C00315	124-20-9	34593	1,10,2,3,4,5,6,7	
crn	L-Carnitine	C7H15NO3	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00318	541-15-1	34600	1,10,2,4,5,6,7	
sphings	Sphingosine	C18H38NO2	1	Cytosol, Endoplasmic Reticulum, Lysosome	C00319	123-78-4	34606	2	
tsul	Thiosulfate	O3S2	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00320		34610	1,10,2,4,5,9	
caffcoa	Caffeoyl-CoA	C30H38N7O19P3S	-4	Cytosol	C00323		34618	4	
gdpfuc	GDP-L-fucose	C16H23N5O15P2	-2	Cytosol, Golgi Apparatus	C00325		34623	1,10,2,3,5,9	
citr-L	L-Citrulline	C6H13N3O3	0	Cytosol, Mitochondria	C00327	372-75-8	34627	1,10,2,3,4,5,6,7,9	
gam	D-Glucosamine	C6H14NO5	1	Cytosol, Extra-organism, Periplasm	C00329	3416-24-8	34633	1,2,5	
dgsn	Deoxyguanosine	C10H13N5O4	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00330	961-07-9	34637	1,10,2,3,4,5,6	
aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4	Cytosol, Mitochondria, Peroxisome	C00332	1420-36-6	34646	1,10,2,3,4,5,6,7,9	
galur	D-Galacturonate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C00333	685-73-4	34649	1,5	
4abut	4-Aminobutanoate	C4H9NO2	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00334	56-12-2	34652	1,10,2,3,4,5,6,7,9	
dhor-S	(S)-Dihydroorotate	C5H5N2O4	-1	Cytosol, Nucleus	C00337	5988-19-2	34662	1,10,2,3,4,5,6,7,9	
rbrdxRD	Reduced rubredoxin	UK	0	Cytosol	C00340		34673	4	
grdp	Geranyl diphosphate	C10H17O7P2	-3	Cytosol, Peroxisome	C00341		34675	1,10,2,3,4,5,6,7,9	
trdrd	Reduced thioredoxin	XH2	0	Cytosol, Mitochondria, Nucleus	C00342		34677	1,10,2,3,4,5,6,7,9	
trdox	Oxidized thioredoxin	X	0	Cytosol, Mitochondria, Nucleus	C00343		34679	1,10,2,3,4,5,6,7,9	
6pgc	6-Phospho-D-gluconate	C6H10O10P	-3	Cytosol, Endoplasmic Reticulum	C00345		34686	1,10,2,3,4,5,6,7,8	
udcpp	Undecaprenyl phosphate	C55H89O4P	-2	Cytosol, Periplasm	C00348		34696	1,10,3,4,5,7	
2mop	2-Methyl-3-oxopropanoate	C4H5O3	-1	Cytosol, Mitochondria	C00349		34698	10,2	
gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1	Cytosol, Extra-organism, Periplasm	C00352	3616-42-0	34709	1,10,2,3,4,5,6,7,9	
ggdp	Geranylgeranyl diphosphate	C20H33O7P2	-3	Cytosol	C00353		34712	2,9	
fdp	D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	Cytosol	C00354	488-69-7	34717	1,10,2,3,4,5,6,7,8,9	
34dhphe	3,4-Dihydroxy-L-phenylalanine	C9H11NO4	0	Cytosol, Extra-organism	C00355	59-92-7	34719	2	
hmgcoa	Hydroxymethylglutaryl-CoA	C27H39N7O20P3S	-5	Cytosol, Endoplasmic Reticulum, Mitochondria, Peroxisome	C00356	1553-55-5	34727	2,4,6,7,9	
acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C00357	102029-88-9	34733	1,10,2,5,6,7	
damp	dAMP	C10H12N5O6P	-2	Cytosol, Extra-organism, Lysosome, Periplasm	C00360	653-63-4	34735	1,10,2,3,4,5,6,7,9	
dgdp	dGDP	C10H12N5O10P2	-3	Cytosol, Mitochondria, Nucleus	C00361		34741	1,10,2,3,4,5,6,7,9	
dgmp	dGMP	C10H12N5O7P	-2	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00362	902-04-5	34744	1,10,2,3,4,5,6,7	
dtdp	dTDP	C10H13N2O11P2	-3	Cytosol, Mitochondria, Nucleus	C00363		34750	1,10,2,3,4,5,6,7,9	
dtmp	dTMP	C10H13N2O8P	-2	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00364	365-07-1	34753	1,10,2,3,4,5,6,7,9	
dump	dUMP	C9H11N2O8P	-2	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm	C00365	964-26-1	34762	1,10,2,3,4,5,6,7,9	
urate	Urate	C5H4N4O3	0	Cytosol, Extra-organism, Peroxisome	C00366	69-93-2	34768	2,4,5	
retinal	Retinal	C20H28O	0	Cytosol	C00376	116-31-4	34795	2	
thm	Thiamin	C12H17N4OS	1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00378	67-03-8	34804	1,10,2,3,5,6,7,9	
xylt	Xylitol	C5H12O5	0	Cytosol, Extra-organism	C00379	87-99-0	34810	2,6	
csn	Cytosine	C4H5N3O	0	Cytosol, Extra-organism, Periplasm	C00380	71-30-7	34812	1,2,4,5,6,7,9	
dolichol	Dolichol	C15H28O	0	Cytosol	C00381		34814	6	
xan	Xanthine	C5H4N4O2	0	Cytosol, Extra-organism, Periplasm, Peroxisome	C00385	69-89-6	34825	1,10,2,3,4,5,6,7,9	
qh2	Ubiquinol	C14H20O4	0	Cytosol	C00390		34840	10	
mnl	D-Mannitol	C6H14O6	0	Extra-organism, Periplasm	C00392	69-65-8	34845	1,5,7	
trypta	Tryptamine	C10H13N2	1	Cytosol	C00398	61-54-1	34864	2	
q10	Ubiquinone-10	C59H90O4	0	Cytosol, Mitochondria	C00399	303-98-0	34867	2	
asp-D	D-Aspartate	C4H6NO4	-1	Cytosol, Extra-organism, Peroxisome	C00402	1783-96-6	34874	2	
ferulcoa	Feruloyl-CoA	C31H40N7O19P3S	-4	Cytosol	C00406		34885	4	
ile-L	L-Isoleucine	C6H13NO2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00407	73-32-5	34887	1,10,2,3,4,5,6,7,9	
Lpipecol	L-Pipecolate	C6H11NO2	0	Cytosol, Peroxisome	C00408	535-75-1	34890	2,4	
ch4s	Methanethiol	CH4S	0	Cytosol, Extra-organism	C00409	74-93-1	34895	4,6,9	
prgstrn	Progesterone	C21H30O2	0	Cytosol, Endoplasmic Reticulum	C00410	57-83-0	34898	2	
dhf	7,8-Dihydrofolate	C19H19N7O6	-2	Cytosol, Extra-organism, Lysosome, Mitochondria	C00415	4033-27-6	34911	1,10,2,3,4,5,6,7,9	
acon-C	cis-Aconitate	C6H3O6	-3	Cytosol, Extra-organism, Periplasm	C00417	585-84-2	34920	4,5,8	
mev-R	(R)-Mevalonate	C6H11O4	-1	Cytosol, Endoplasmic Reticulum, Peroxisome	C00418	150-97-0	34923	2,6,7,9	
cinnm	trans-Cinnamate	C9H7O2	-1	Cytosol	C00423	140-10-3	34938	1,5	
lald-L	L-Lactaldehyde	C3H6O2	0	Cytosol, Mitochondria	C00424	598-35-6	34941	1,10,2,3,5,6,9	
dhdascb	Dehydroascorbate	C6H6O6	0	Cytosol, Extra-organism	C00425	490-83-5	34945	2	
prostgh2	Prostaglandin H2	C20H31O5	-1	Cytosol, Endoplasmic Reticulum	C00427	42935-17-1	34952	2	
56dura	5,6-dihydrouracil	C4H6N2O2	0	Cytosol	C00429	504-07-4	34956	2,4,9	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	0	Cytosol, Extra-organism, Mitochondria	C00430	106-60-5	34963	1,10,2,3,4,5,6,7,9	
5aptn	5-Aminopentanoate	C5H11NO2	0	Cytosol	C00431	660-88-8	34967	4	
rbrdxOX	Oxidized rubredoxin	UK	0	Cytosol	C00435		34978	4	
acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0	Cytosol, Mitochondria	C00437	None	34982	1,10,2,4,5,6,7,9	
cbasp	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	Cytosol, Nucleus	C00438		34984	1,10,2,3,4,5,6,7,9	
forglu	N-Formimidoyl-L-glutamate	C6H8N2O4	-2	Cytosol	C00439		34986	2,4,7	
5mthf	5-Methyltetrahydrofolate	C20H24N7O6	-1	Cytosol, Extra-organism, Mitochondria	C00440		34988	1,10,2,3,4,5,6,7,9	
aspsa	L-Aspartate 4-semialdehyde	C4H7NO3	0	Cytosol	C00441	None	34990	1,10,3,4,5,6,7,9	
r1p	alpha-D-Ribose 1-phosphate	C5H9O8P	-2	Cytosol, Mitochondria	C00442	58459-37-3	34994	1,10,2,3,4,5,6,7	
methf	5,10-Methenyltetrahydrofolate	C20H20N7O6	-1	Cytosol, Mitochondria	C00445		34999	1,10,2,3,4,5,6,7,9	
gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00446	2255-14-3	35001	1,10,2,3,5,6,9	
s17bp	Sedoheptulose 1,7-bisphosphate	C7H12O13P2	-4	Cytosol	C00447		35003	6	
frdp	Farnesyl diphosphate	C15H25O7P2	-3	Cytosol, Endoplasmic Reticulum, Peroxisome	C00448	13058-04-3	35006	1,10,2,3,4,5,6,7,9	
thp2c	2,3,4,5-Tetrahydropyridine-2-carboxylate	C6H8NO2	-1	Cytosol, Peroxisome	C00450		35015	2,4	
nmn	NMN	C11H14N2O8P	-1	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C00455	1094-61-7	35022	1,2,3,5,6,9	
dctp	dCTP	C9H12N3O13P3	-4	Cytosol, Mitochondria, Nucleus	C00458	2056-98-6	35027	1,10,2,3,4,5,6,7,9	
dttp	dTTP	C10H13N2O14P3	-4	Cytosol, Extra-organism, Mitochondria, Nucleus	C00459		35032	1,10,2,3,4,5,6,7,9	
dutp	dUTP	C9H11N2O14P3	-4	Cytosol, Mitochondria, Nucleus	C00460		35037	1,10,2,3,4,5,6,7,9	
chitin	Chitin (monomer)	C8H13NO5	0	Cytosol	C00461	1398-61-4	35040	6	
indole	Indole	C8H7N	0	Cytosol, Extra-organism, Periplasm	C00463	120-72-9	35045	1,10,3,4,5,9	
mannan	Mannan	C6H10O5	0	Cytosol, Endoplasmic Reticulum	C00464	52002-03-6	35048	6	
actn-R	(R)-Acetoin	C4H8O2	0	Cytosol, Extra-organism	C00810	513-86-0	35053	7,9	
estrone	Estrone	C18H22O2	0	Cytosol, Endoplasmic Reticulum	C00468	53-16-7	35059	2	
etoh	Ethanol	C2H6O	0	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00469	64-17-5	35062	1,2,3,4,5,6,7,8,9	
retinol	Retinol	C20H30O	0	Cytosol, Extra-organism	C00473	68-26-8	35081	2	
rbt	Ribitol	C5H12O5	0	Cytosol, Extra-organism	C00474	488-81-3	35086	2	
cytd	Cytidine	C9H13N3O5	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Nucleus, Periplasm	C00475	65-46-3	35089	1,10,2,3,4,5,6,7	
ppal	Propanal	C3H6O	0	Cytosol, Extra-organism, Periplasm	C00479	123-38-6	35098	10,4,5	
tym	Tyramine	C8H12NO	1	Cytosol, Extra-organism, Periplasm	C00483	51-67-2	35110	2,5	
bilirub	Bilirubin	C33H34N4O6	-2	Cytosol, Endoplasmic Reticulum, Extra-organism	C00486	635-65-4	35117	2	
frmd	Formamide	CH3NO	0	Cytosol	C00488	75-12-7	35122	3,7	
glutar	Glutarate	C5H6O4	-2	Cytosol	C00489	110-94-1	35125	4	
itacon	Itaconate	C5H4O4	-2	Mitochondria	C00490	97-65-4	35130	2,6	
Lcystin	L-Cystine	C6H12N2O4S2	0	Cytosol, Extra-organism	C00491	56-89-3	35134	2	
raffin	Raffinose	C18H32O16	0	Cytosol	C00492	512-69-6	35138	6,7	
skm	Shikimate	C7H9O5	-1	Cytosol, Extra-organism, Periplasm	C00493	138-59-0	35144	1,10,3,4,5,6,7,9	
mal-D	D-Malate	C4H4O5	-2	Cytosol, Extra-organism, Periplasm	C00497	636-61-3	35157	5	
adpglc	ADPglucose	C16H23N5O15P2	-2	Cytosol	C00498		35161	1,10,2,5,7	
alltt	Allantoate	C4H7N4O4	-1	Cytosol, Extra-organism	C00499	99-16-1	35164	1,5,6	
biliverd	Biliverdin	C33H32N4O6	-2	Cytosol	C00500	114-25-0	35167	2	
fol	Folate	C19H18N7O6	-1	Cytosol, Extra-organism	C00504	59-30-3	35180	10,2,9	
Lcyst	L-Cysteate	C3H6NO5S	-1	Cytosol, Mitochondria	C00506	13100-82-8	35186	2	
rmn	L-Rhamnose	C6H12O5	0	Cytosol, Extra-organism, Periplasm	C00507	3615-41-6	35191	1,5	
rbl-L	L-Ribulose	C5H10O5	0	Cytosol	C00508		35195	1,10,5,7	
acryl	Acrylate	C3H4O2	0	Cytosol	C00511	79-10-7	35206	3	
mana	D-Mannonate	C6H11O7	-1	Cytosol	C00514		35217	1,5	
hxdcal	Hexadecanal	C16H32O	0	Cytosol, Endoplasmic Reticulum	C00517	629-80-1	35223	2,6	
ha	hyaluronan	C28H40N2O22	-2	Extra-organism, Lysosome	C00518	9004-61-9	35227	2	
hyptaur	Hypotaurine	C2H6NO2S	-1	Cytosol	C00519	300-84-5	35230	2	
pant-R	(R)-Pantoate	C6H11O4	-1	Cytosol, Mitochondria	C00522	470-29-1	35240	1,10,3,4,5,6,7,9	
andrstrn	Androsterone	C19H30O2	0	Cytosol, Endoplasmic Reticulum, Extra-organism	C00523	53-41-8	35244	2	
cytcc	Cytochrome c	C42H52FeN8O6S2	0	Cytosol	C00524	9007-43-6	35247	4	
duri	Deoxyuridine	C9H12N2O5	0	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm	C00526	951-78-0	35251	1,10,2,3,5,6,7,9	
glutcoa	Glutaryl-CoA	C26H37N7O19P3S	-5	Cytosol, Mitochondria	C00527	103192-48-9	35255	2,4	
hqn	Hydroquinone	C6H6O2	0	Cytosol	C00530	123-31-9	35259	1,5	
itaccoa	Itaconyl-CoA	C26H35N7O19P3S	-5	Mitochondria	C00531		35266	2,6	
abt	L-Arabinitol	C5H12O5	0	Cytosol, Extra-organism	C00532	7643-75-6	35268	2,6	
no	Nitric oxide	NO	0	Cytosol, Extra-organism, Periplasm	C00533	10102-43-9	35273	10,2,3,5	
pydam	Pyridoxamine	C8H13N2O2	1	Cytosol, Extra-organism	C00534	85-87-0	35277	1,10,2,5,6	
tststerone	Testosterone	C19H28O2	0	Cytosol, Endoplasmic Reticulum	C00535	58-22-0	35280	2	
cbl2	Cob(II)alamin	C62H92CoN13O14P	0	Cytosol, Mitochondria	C00541	14463-33-3	35292	2	
mthgxl	Methylglyoxal	C3H4O2	0	Cytosol, Extra-organism	C00546	78-98-8	35307	1,2,5,6	
nrpphr	Norepinephrine	C8H12NO3	1	Cytosol, Extra-organism	C00547	51-41-2	35313	2	
4abutn	4-Aminobutanal	C4H10NO	1	Cytosol, Mitochondria	C00555		35337	1,2,5,6	
bzalc	Benzyl alcohol	C7H8O	0	Cytosol	C00556	100-51-6	35341	4	
tagur	D-Tagaturonate	C6H9O7	-1	Cytosol	C00558	None	35350	1,5	
dad-2	Deoxyadenosine	C10H13N5O3	0	Cytosol, Extra-organism, Lysosome, Periplasm	C00559	958-09-8	35352	1,10,2,3,4,5,6,7	
tma	trimethylamine	C3H10N	1	Cytosol, Extra-organism, Periplasm	C00565	75-50-3	35366	1,5,9	
4abz	4-Aminobenzoate	C7H6NO2	-1	Cytosol, Extra-organism, Mitochondria	C00568	150-13-0	35376	1,10,3,4,5,6,7,9	
cdpea	CDPethanolamine	C11H19N4O11P2	-1	Cytosol	C00570		35382	1,2,3,6	
betald	Betaine aldehyde	C5H12NO	1	Cytosol, Mitochondria	C00576		35400	1,10,2,4,5,7	
glyald	D-Glyceraldehyde	C3H6O3	0	Cytosol, Extra-organism, Periplasm	C00577	453-17-8	35402	1,2,3,4,5,6,7,9	
dhlam	Dihydrolipoamide	C8H17NOS2	0	Cytosol, Mitochondria	C00579	3884-47-7	35406	10,2,4,6,7	
dms	Dimethyl sulfide	C2H6S	0	Cytosol, Extra-organism, Periplasm	C00580	75-18-3	35409	1,5,9	
phaccoa	Phenylacetyl-CoA	C29H38N7O17P3S	-4	Cytosol	C00582		35419	1,2,4,5,9	
prostge2	Prostaglandin E2	C20H31O5	-1	Cytosol, Endoplasmic Reticulum, Extra-organism	C00584	363-24-6	35424	2	
confrl	Coniferol	C10H12O3	0	Cytosol, Extra-organism, Periplasm	C00590	458-35-5	35444	4	
op4en	2-Oxopent-4-enoate	C5H5O3	-1	Cytosol	C00596		35454	1,4,5	
pacald	Phenylacetaldehyde	C8H8O	0	Cytosol, Extra-organism, Periplasm	C00601	122-78-1	35469	1,10,2,5,6	
3sala	3-Sulfino-L-alanine	C3H5NO4S	-2	Cytosol, Mitochondria	C00606	1115-65-7	35482	2,5	
N1aspmd	N1-Acetylspermidine	C9H23N3O	2	Cytosol	C00612	34450-16-3	35495	1,5,6	
3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C00618		35509	1,2,5	
glyc1p	Glycerol 1-phosphate	C3H7O6P	-2	Cytosol	C00623		35518	9	
acglu	N-Acetyl-L-glutamate	C7H9NO5	-2	Cytosol, Mitochondria	C00624	1188-37-0	35520	1,10,2,4,5,6,7,9	
pdx5p	Pyridoxine 5'-phosphate	C8H10NO6P	-2	Cytosol	C00627	447-05-2	35527	1,10,2,4,5,6	
2dhglcn	2-Dehydro-D-gluconate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C00629		35536	1,4,5	
ibcoa	Isobutyryl-CoA	C25H38N7O17P3S	-4	Cytosol, Mitochondria	C00630		35538	2,4,7,9	
2pg	D-Glycerate 2-phosphate	C3H4O7P	-3	Cytosol	C00631		35542	1,10,2,3,4,5,6,7,8,9	
4hbald	4-Hydroxybenzaldehyde	C7H6O2	0	Cytosol	C00633	123-08-0	35548	4	
id3acald	Indole-3-acetaldehyde	C10H9NO	0	Cytosol, Extra-organism, Mitochondria	C00637	2591-98-2	35561	10,2,6,7	
prostgf2	Prostaglandin F2alpha	C20H33O5	-1	Cytosol, Extra-organism	C00639	551-11-1	35568	2	
3hacoa	(S)-3-Hydroxyacyl-CoA	C24H35N7O18P3RS	-4	Peroxisome	C00640		35592	6	
4hphac	4-Hydroxyphenylacetate	C8H7O3	-1	Cytosol, Extra-organism	C00642	156-38-7	35599	2,9	
mnl1p	D-Mannitol 1-phosphate	C6H13O9P	-2	Cytosol	C00644		35604	1,5,6,7	
acmana	N-Acetyl-D-mannosamine	C8H15NO6	0	Cytosol, Extra-organism, Periplasm	C00645	3615-17-6	35606	1,2,5,7,9	
pyam5p	Pyridoxamine 5'-phosphate	C8H12N2O5P	-1	Cytosol, Mitochondria	C00647	529-96-4	35609	1,10,2,5,6	
Dara14lac	D-Arabinono-1,4-lactone	C5H8O5	0	Cytosol	C00652	2782-09-4	35619	6	
xmp	Xanthosine 5'-phosphate	C10H11N4O9P	-2	Cytosol, Extra-organism, Periplasm	C00655	523-98-8	35623	1,10,2,3,4,5,6,7,9	
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4	-1	Cytosol, Mitochondria	C06006		35632	1,10,3,4,5,6,7,9	
g3p	Glyceraldehyde 3-phosphate	C3H5O6P	-2	Cytosol	C00661	142-10-9	35637	1,10,2,3,4,5,6,7,8,9	
adfdRD	Reduced adrenal ferredoxin	UKH2	0	Cytosol	C00662		35639	10	
5forthf	5-Formiminotetrahydrofolate	C20H22N8O6	-2	Cytosol	C00664		35643	2	
f26bp	D-Fructose 2,6-bisphosphate	C6H10O12P2	-4	Cytosol	C00665		35645	2,6	
26dap-LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol	C00666	583-93-7	35647	1,10,3,4,5,7	
adfdOX	Oxidized adrenal ferredoxin	UK	2	Cytosol	C00667		35651	10	
glucys	gamma-L-Glutamyl-L-cysteine	C8H13N2O5S	-1	Cytosol	C00669	686-58-8	35655	1,10,2,4,5,6	
g3pc	sn-Glycero-3-phosphocholine	C8H20NO6P	0	Cytosol, Extra-organism, Periplasm	C00670		35659	1,2,5,7	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol, Mitochondria	C00671		35662	1,10,2,3,4,5,6,7,9	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	Cytosol	C00672		35664	1,10,2,3,5,6,7,9	
2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	-2	Cytosol	C00673	102916-66-5	35666	1,10,2,3,5,6,7	
5dh4dglc	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	-2	Cytosol	C00679		35679	1,5	
26dap-M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol, Extra-organism, Periplasm	C00680	None	35681	1,10,3,4,5,7,9	
2hmcnsad	2-Hydroxymuconate semialdehyde	C6H6O4	0	Cytosol	C00682		35687	4	
mmcoa-S	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	Cytosol, Mitochondria, Peroxisome	C00683		35689	1,10,2,5	
dtdp4d6dg	dTDP-4-dehydro-6-deoxy-D-glucose	C16H22N2O15P2	-2	Cytosol	C00687		35701	1,10,2,5,9	
