abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
MELIBt2pp	melibiose transport in via symport (periplasm)		h[p] + melib[p] --> h[c] + melib[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912590	0	JLR- the enzyme can use H+, Na+, of Li+ gradient (prefers Na+)	
NTD10	5'-nucleotidase (XMP)		[c] : h2o + xmp --> pi + xtsn	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	144012	4	SurE//PMID: 15489502//no 3'-nmp assigned since not in model//E. coli SurE showed significant activity toward nucleoside 5'-or3'-monophosphates (Fig. 3A). The protein hydrolyzed both purine and pyrimidine ribo- and deoxyribonucleotides effectively and had a neutral pH optimum (pH 7.0¿7.2) (Fig. 3B). With all substrates, the protein showed saturation kinetics with high affinity to 3'-AMP, 5'-GMP, 5'-dGMP, 5'-AMP, and 3'-CMP.  The only non-nucleotide natural substrate hydrolyzed by the E. coli SurE was found to be polyphosphate.////YfbR is a Co2+-dependent 5'-nucleotidase with a strict specificity to deoxyribonucleotides. also, 4nphp////YjjG is an Mn2+-dependent 5'-nucleotidase specific to 5'-UMP, 5'-dUMP, and 5'-dTMP. also, 4nphp	
NO3tex	nitrate transport via diffusion (extracellular to periplasm)		no3[e] <==> no3[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916032		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
MANPGH	2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase		[c] : h2o + man6pglyc --> glyc-R + man6p	Alternate Carbon Metabolism	Cytosol		Irreversible	N	1771727	3	The actual substrate and product are unknown and assumed.  See MANGLYCpts.////PUTATIVE//	
ACACt2pp	acetoacetate transport via proton symport  (periplasm)		acac[p] + h[p] <==> acac[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1911954	2	JLR-based on Saier's database//see PMID: 3025185 for realated SCFA metabolism//AMF	
MALTTRtexi	Maltotriose transport via diffusion (extracellular to periplasm) irreversible		malttr[e] --> malttr[p]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	1915617	4	PMID: 7654405////LamB binds to the maltoheptanose compounds and facitlitaes their diffuction through the outer membrane////PMID: 127000071//outer membrane protein porin for maltose and maltooligosacharides	
CPGNR1	coprogen(Fe(III)) reductase		[c] : (2) cpgn + fadh2 --> (2) cpgn-un + fad + (2) fe2 + (2) h	Inorganic Ion Transport and Metabolism	Cytosol		Irreversible	N	2391026	3	indirectly (?) reduced by activity of Fre   ////cpgn is a siderophore - an iron-uptake molecule secreted by other micro-organisms.  not produced by K-12 ecoli, but they can ingest it and utilize the Fe it traps.  then releases siderophore to collect more Fe////MKA//AMF	
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)		12ppd-S[p] <==> 12ppd-S[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1914364	3	JLR- reference implies that 12PPD leaves via facilitated diffusion based on rate of exit	
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	H2-neopterin triphosphate pyrophosphatase	[c] : ahdt + h2o --> dhpmp + h + ppi	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1447052	0		
ASNt2rpp	L-asparagine reversible transport via proton symport (periplasm)		asn-L[p] + h[p] <==> asn-L[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912062	0	AnsP is putatively assigned to this reaction.  There are two transport systems see PMID 239925.  EcoCyc lists this as a putative transporter.	
INSK	insosine kinase		[c] : atp + ins --> adp + h + imp	Nucleotide Salvage Pathway	Cytosol	2.7.1.73	Irreversible	N	1441543	0		
UDPGPpp	UDPglucose pyrophosphohydrolase		[p] : h2o + udpg --> g1p + (2) h + ump	Alternate Carbon Metabolism	Periplasm	3.6.1.45	Irreversible	N	2388112	4	see PMID: 3012467//AMF	
SHCHF	sirohydrochlorin ferrochelatase		[c] : fe2 + scl --> (3) h + sheme	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1553816	0	JLR- JSE model didn't have Fe2+	
LPLIPAL2ATE160	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)		[c] : 2agpe160 + pg160 --> apg160 + g3pe	Glycerophospholipid Metabolism	Cytosol		Irreversible	N	2707951	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
FEOXAMUtpp	ferroxamine (minus Fe3) secretion (to periplasm)		feoxam-un[c] + h[p] --> feoxam-un[p] + h[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2305525	2	transport mechanism not know, but necessary - K-12 ecoli do not produce nor degrade aerobactin, just utilze Fe it sequesters.//may not use proton antiport - just put in system to approximate energy expense//MKA////transport mech unknown - proton antiport assumed for inner and outer membranes//AMF	
GTPDPK	GTP diphosphokinase	(p)ppGpp synthetase I, (p)ppGpp synthetase II, ATP-GTP 3'-diphosphotransferase, GPSI, GPSII, GTP diphosphokinase, GTP pyrophosphokinase, guanosine 3',5'-polyphosphate synthase, guanosine 5',3'-polyphosphate synthetase, guanosine pentaphosphate synthetase, stringent factor	[c] : atp + gtp --> amp + gdptp + h	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.7.6.5	Irreversible	N	213582	4	4 reactions are involved in the ppGpp biosynthesis pathway//ppGpp is a signalling molecule////gppA : PMID: 8394006//RelA: PMID: 2844820//	
DM_AACALD	Sink needed to allow aminoacetaldehyde to leave system		[c] : aacald -->		Cytosol		Irreversible	N	3242345			
ALLPI	Allose 6-phosphate isomerase		[c] : all6p <==> allul6p	Alternate Carbon Metabolism	Cytosol		Reversible	N	1837837	2	Putative assignment, gene is required for allose utilization	
GLCP2	glycogen phosphorylase	1,4-alpha-glucan phosphorylase;, alpha-glucan phosphorylase;, amylopectin phosphorylase;, amylophosphorylase;, glucan phosphorylase;, glucosan phosphorylase;, glycogen phosphorylase;, granulose phosphorylase;, maltodextrin phosphorylase;, muscle phosphorylase a and b;, muscle phosphorylase;, myophosphorylase;, phosphorylase;, polyphosphorylase;, potato phosphorylase;, starch phosphorylase	[c] : bglycogen + pi --> g1p	Glycolysis/Gluconeogenesis	Cytosol	2.4.1.1	Irreversible	N	2734427	4	PMID: 2645169//AMF	
GLUTRS	Glutamyl-tRNA synthetase		[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi	Cofactor and Prosthetic Group Biosynthesis	Cytosol	6.1.1.17	Irreversible	N	227767	0		
PE161abcpp	phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)		atp[c] + h2o[c] + pe161[c] --> adp[c] + h[c] + pe161[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2702385	2	PMID: 15304478 suggests that MsbA facilitates the rapid translocation of some lipids from the cytoplasmic to the periplasmic side of the inner membrane in living cells.//no specific mention of://pa//pg//pgp//but PMID: 15890883 does mention that MsbA will transport://pe////personal communication (Charles Rock, Jan. 7 06): 'MsbA is an interesting issue.  It certainly transports the lipid A molecule.  In msbA mutants, PE also accumulates inside the cell//suggesting that PE is also transported by MsbA.  However, some scientists think this may not be the case and the accumulation of PE inside the cell in msbA mutants arises from it sticking to the lipid A that is not moved out of the cell, so the phenotype is not due to a PE transport defect.  This implies the existence of another transporter that moves phospholipids, but it has not been identified. So we wait for more definitive experiments.'//AMF	
PSD141	Phosphatidylserine decarboxylase (n-C14:1)	PS decarboxylase, phosphatidylserine decarboxylase;	[c] : h + ps141 --> co2 + pe141	Glycerophospholipid Metabolism	Cytosol	4.1.1.65	Irreversible	N	2618182	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
23DAPPAtex	2,3-diaminopropionate transport via diffusion		23dappa[e] <==> 23dappa[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2298912		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
UDCPDPS	Undecaprenyl diphosphate synthase		[c] : frdp + (8) ipdp --> (8) ppi + udcpdp	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1437934	0		
PLIPA2A140pp	Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)	lecithinase A;, phosphatidase;, phosphatidolipase;, phospholipase A, phospholipase A2;	[p] : h2o + pa140 --> 1tdecg3p + h + ttdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.4	Irreversible	N	2721530	2	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)		2agpg141[p] --> 2agpg141[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2707521	3	PMID: 15661733//LplT-Aas transport/acylation activity was independent of the proton motive force//shown to act on pe, assumed to transport pg, pa.////personal communication (Charles Rock) 'We think that Lpt1 is a facilitator like the glycerol facilitator and does not require membrane electrochemical gradient.  The transporter will move 2-acyl-GPC, which is not an E. coli lipid, so it is not very specific.  We do not know whether other specific lipids are transported by this system, but it might be that lysophospholipids in general are substrates.'//AMF	
DXPRIi	1-deoxy-D-xylulose reductoisomerase		[c] : dxyl5p + h + nadph --> 2me4p + nadp	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1446362	3	The reaction is reversible in vitro, but in vivo the reaction is driven unidirectionally by equilibrium////PMID: 12230556//AMF////so, by reading the statement above, one could make the arguement for reversible, but by the next consecutive reation is irreversbile anyway is the only reaction that uses the product////	
SPMS	spermidine synthase		[c] : ametam + ptrc --> 5mta + h + spmd	Arginine and Proline Metabolism	Cytosol	2.5.1.16	Irreversible	N	139063	0		
DDPA	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase		[c] : e4p + h2o + pep --> 2dda7p + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	4.1.2.15	Irreversible	N	211473	0		
EDD	6-phosphogluconate dehydratase		[c] : 6pgc --> 2ddg6p + h2o	Pentose Phosphate Pathway	Cytosol	4.2.1.12	Irreversible	N	1436067	0		
UREAtpp	Urea transport via facilitate diffusion (periplasm)		urea[p] <==> urea[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912876	4	JLR  (JSE had reaction using 2 Hext)//	
DAGK160	diacylglycerol kinase (n-C16:0)	1,2-diacylglycerol kinase (phosphorylating);, 1,2-diacylglycerol kinase;, ATP:diacylglycerol phosphotransferase;, DG kinase;, DGK;, arachidonoyl-specific diacylglycerol kinase;, diacylglycerol kinase;, diacylglycerol:ATP kinase, diglyceride kinase;, sn-1,2-diacylglycerol kinase;	[c] : 12dgr160 + atp --> adp + h + pa160	Glycerophospholipid Metabolism	Cytosol	2.7.1.107	Irreversible	N	2618281	4	PMID: 8071224 shows active site on the cytoplasmic side//reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	CDP diglyceride pyrophosphorylase;, CDP-DG, CDP-diacylglyceride synthetase;, CDP-diacylglycerol synthase;, CTP-diacylglycerol synthetase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, DAG synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, phosphatidate cytidyltransferase;, phosphatidate cytidylyltransferase;, phosphatidic acid cytidylyltransferase;	[c] : ctp + h + pa161 --> cdpdhdec9eg + ppi	Glycerophospholipid Metabolism	Cytosol	2.7.7.41	Irreversible	N	2617696	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
ACPS1	acyl-carrier protein synthase		[c] : apoACP + coa --> ACP + h + pap	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.7.8.7	Irreversible	N	1531319	4	JLR-  apoACP is the inactive form.////when acpS was deleted, it was lethal, so acpT (yhhU) can not support the physiological funtion that was confirmed in vivo//PMID: 10625633//despite this fact, the AspT association was made in the model since this gene may be able to preform the reaction under certain conditions	
ZNabcpp	zinc (Zn+2) transport via ABC system (periplasm)		atp[c] + h2o[c] + zn2[p] --> adp[c] + h[c] + pi[c] + zn2[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2390876	4	see PMID: 9680209 	
PDX5POi	pyridoxine 5'-phosphate oxidase		[c] : o2 + pdx5p --> h2o2 + pydx5p	Cofactor and Prosthetic Group Biosynthesis	Cytosol	1.4.3.5	Irreversible	N	2937610	3	added irreversible reaction in direction of oxidase (otherwise loop with anaerobic reaction)//AMF	
XYLI1	xylose isomerase		[c] : xyl-D <==> xylu-D	Alternate Carbon Metabolism	Cytosol	5.3.1.5	Reversible	N	136934	0		
CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)		[c] : cdpdodecg + h2o --> cmp + (2) h + pa180	Glycerophospholipid Metabolism	Cytosol	3.6.1.26	Irreversible	N	2617743	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
TDPAGTA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	TDP-4-keto-6-deoxy-D-glucose transaminase, thymidine diphospho-4-amino-4,6-dideoxyglucose aminotransferase, thymidine diphospho-4-amino-6-deoxyglucose aminotransferase, thymidine diphospho-4-keto-6-deoxy-D-glucose transaminase, thymidine diphospho-4-keto-6-deoxy-D-glucose-glutamic transaminase	[c] : dtdp4d6dg + glu-L --> akg + dtdp4addg	Cell Envelope Biosynthesis	Cytosol	2.6.1.33	Irreversible	N	1483457	3		
HISTD	histidinol dehydrogenase		[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	Histidine Metabolism	Cytosol	1.1.1.23	Irreversible	N	140428	0	JLR- JSE model uses 3 NAD/NADH instead of 2.  Neidhardt indicates that it is 2 as does EcoCyc.	
MG2t3_2pp	magnesium (Mg+2) transport in/out via proton antiport (periplasm)		(2) h[c] + mg2[p] <==> (2) h[p] + mg2[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Reversible	Y	3241777	2	PMID: 2984182 gives evidence for this reaction//thermodynamic analysis agrees with this stoichiometry//AMF	
PAPPT3	phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)		[c] : udcpp + ugmda --> uagmda + ump	Cell Envelope Biosynthesis	Cytosol	2.7.8.13	Irreversible	N	226543	0	JLR- used ugmda (KEGG indicates another compound but EcoCyc agrees with the way JSE has it)	
K2L4Atex	KDO(2)-lipid IV A transport via vector (periplasm to extracellular)		kdo2lipid4[p] --> kdo2lipid4[e]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	2932372	1	this reaction is needed to have the LPS lipid A derivative presented to the outer membrane surface - both moved across the periplasm and flipped across the outer membrane////not sure on the method of transport////this paper talks about the possibility of the transport PMID: 15576375////AMF	
