H2O,C00001,H2O2,C00027,0.75
2-Amino-3-methylbutyric acid,C00183,2-Amino-3-methylvaleric acid,C00407,0.821428571429
"1,3-Dihydroxyacetone",C00184,"1,3-Dihydroxybenzene",C01751,0.7
Cellobiose,C00185,Cellotriose,C06219,0.727272727273
Cellobiose,C00185,Xylobiose,C01630,0.7
Cellobiose,C00185,Inulobiose,C01711,0.7
Cellobiose,C00185,Melibiose,C05402,0.7
(S)-Lactate,C00186,(R)-Lactate,C00256,0.818181818182
Cholesterol,C00187,Allocholesterol,C15337,0.733333333333
Cholest-5-en-3beta-ol,C00187,Campest-4-en-3beta-ol,C15784,0.761904761905
L-Threonine,C00188,D-Threonine,C00820,0.818181818182
2-Amino-3-hydroxybutyric acid,C00188,2-Amino-3-hydroxypropionic acid,C00716,0.741935483871
Ethanolamine,C00189,Diethanolamine,C06772,0.857142857143
Ethanolamine,C00189,Triethanolamine,C06771,0.8
Ethanolamine,C00189,CDP-ethanolamine,C00570,0.75
Ethanolamine,C00189,Thioethanolamine,C01678,0.75
D-Glucuronate,C00191,dTDP-D-glucuronate,C06017,0.722222222222
Adenosylcobalamin,C00194,Methylcobalamin,C06453,0.705882352941
Cobamamide,C00194,Cobamide,C00210,0.7
Cobamamide,C00194,Formamide,C00488,0.7
Coenzyme B12,C00194,Coenzyme Q10,C11378,0.75
"2,3-Dihydroxybenzoate",C00196,"2,5-Dihydroxybenzoate",C00628,0.904761904762
"2,3-Dihydroxybenzoate",C00196,"3,4-Dihydroxybenzoate",C00230,0.857142857143
"2,3-Dihydroxybenzoate",C00196,3-Hydroxybenzoate,C00587,0.761904761905
"2,3-Dihydroxybenzoate",C00196,"3,4,5-Trihydroxybenzoate",C01424,0.75
"2,3-Dihydroxybenzoate",C00196,"2,3-Dihydroxyindole",C02775,0.714285714286
"2,3-Dihydroxybenzoic acid",C00196,"2,3-Dihydroxybutanedioic acid",C00898,0.758620689655
3-Phospho-D-glycerate,C00197,3-Phospho-DL-glycerate,C00597,0.863636363636
3-Phospho-D-glycerate,C00197,2-Phospho-D-glycerate,C00631,0.857142857143
3-Phospho-D-glycerate,C00197,"1,3-Bisphospho-D-glycerate",C00236,0.769230769231
3-Phospho-D-glycerate,C00197,"2,3-Bisphospho-D-glycerate",C01159,0.769230769231
D-Glycerate 3-phosphate,C00197,DL-Glycerol 3-phosphate,C03189,0.739130434783
D-Glycerate 3-phosphate,C00197,D-Glyceraldehyde 3-phosphate,C00118,0.714285714286
3-Phosphoglycerate,C00197,"2,3-Bisphosphoglycerate",C03339,0.782608695652
"D-Glucono-1,5-lactone",C00198,"D-Glucono-1,4-lactone",C03107,0.857142857143
"D-Glucono-1,5-lactone",C00198,"L-Fucono-1,5-lactone",C18028,0.857142857143
"D-Glucono-1,5-lactone",C00198,"D-Galactono-1,5-lactone",C02669,0.782608695652
"D-Glucono-1,5-lactone",C00198,"D-Xylono-1,5-lactone",C02266,0.761904761905
"D-Glucono-1,5-lactone",C00198,"Cellobiono-1,5-lactone",C01093,0.727272727273
"1,5-Gluconolactone",C00198,(+)-Muconolactone,C14610,0.722222222222
D-Ribulose 5-phosphate,C00199,L-Ribulose 5-phosphate,C01101,0.909090909091
D-Ribulose 5-phosphate,C00199,D-Xylulose 5-phosphate,C00231,0.818181818182
D-Ribulose 5-phosphate,C00199,L-Xylulose 5-phosphate,C03291,0.818181818182
D-Ribulose 5-phosphate,C00199,D-Arabinose 5-phosphate,C01112,0.782608695652
D-Ribulose 5-phosphate,C00199,"D-Ribulose 1,5-bisphosphate",C01182,0.740740740741
D-Ribulose 5-phosphate,C00199,D-Ribitol 5-phosphate,C01068,0.727272727273
D-Ribulose 5-phosphate,C00199,D-Xylose-5-phosphate,C06814,0.727272727273
UDP-N-acetyl-D-galactosamine,C00203,UDP-N-acetyl-D-galactosamine 4-sulfate,C04426,0.736842105263
UDP-N-acetyl-D-galactosamine,C00203,N-Acetyl-D-galactosamine,C01132,0.75
2-Dehydro-3-deoxy-D-gluconate,C00204,6-Phospho-2-dehydro-3-deoxy-D-gluconate,C04442,0.74358974359
2-Dehydro-3-deoxy-D-gluconate,C00204,2-Dehydro-3-deoxy-L-fuconate,C03827,0.862068965517
2-Dehydro-3-deoxy-D-gluconate,C00204,2-Dehydro-3-deoxy-D-glucarate,C03921,0.862068965517
2-Dehydro-3-deoxy-D-gluconate,C00204,3-Dehydro-2-deoxy-D-gluconate,C03926,0.862068965517
2-Dehydro-3-deoxy-D-gluconate,C00204,5-Dehydro-2-deoxy-D-gluconate,C03932,0.862068965517
2-Dehydro-3-deoxy-D-gluconate,C00204,2-Dehydro-3-deoxy-D-fuconate,C06159,0.862068965517
2-Dehydro-3-deoxy-D-gluconate,C00204,2-Dehydro-3-deoxy-D-galactonate,C01216,0.838709677419
2-Keto-3-deoxy-D-gluconate,C00204,"2,5-Diketo-3-deoxy-D-gluconate",C04349,0.833333333333
2-Keto-3-deoxy-D-gluconate,C00204,2-Amino-2-deoxy-D-gluconate,C03752,0.777777777778
2'-Deoxyadenosine 5'-diphosphate,C00206,2'-Deoxyadenosine 5'-phosphate,C00360,0.90625
2'-Deoxyadenosine 5'-diphosphate,C00206,2'-Deoxyinosine-5'-diphosphate,C01344,0.84375
2'-Deoxyadenosine 5'-diphosphate,C00206,Isopentenyladenosine-5'-diphosphate,C16426,0.714285714286
Dimethyl ketone,C00207,Dimethylketol,C00466,0.733333333333
2-Propanone,C00207,3-Tropanone,C00783,0.818181818182
2-Propanone,C00207,2-Propanol,C01845,0.727272727273
2-Propanone,C00207,2-Oxepanone,C01880,0.727272727273
Maltose,C00208,Isomaltose,C00252,0.7
Maltose,C00208,Lactose,C00243,0.714285714286
Oxalic acid,C00209,Mesoxalic acid,C00830,0.785714285714
N-Methylglycine,C00213,Dimethylglycine,C01026,0.866666666667
D-Arabinose,C00216,L-Arabinose,C00259,0.818181818182
D-Glutamate,C00217,DL-Glutamate,C00302,0.75
Methylamine,C00218,Dimethylamine,C00543,0.846153846154
Methylamine,C00218,Trimethylamine,C00565,0.785714285714
Methanamine,C00218,Methanamide,C00488,0.818181818182
3-Oxopropanoate,C00222,3-Nitropropanoate,C05669,0.764705882353
3-Oxopropanoate,C00222,3-Hydroxypropanoate,C01013,0.736842105263
3-Oxopropanoate,C00222,3-Ureidopropanoate,C02642,0.722222222222
Malonate semialdehyde,C00222,Succinate semialdehyde,C00232,0.772727272727
Malonate semialdehyde,C00222,Adipate semialdehyde,C06102,0.761904761905
Malonate semialdehyde,C00222,2-Aminomalonate semialdehyde,C11822,0.75
Malonate semialdehyde,C00222,Glutarate semialdehyde,C03273,0.727272727273
4-Hydroxycinnamoyl-CoA,C00223,4-Hydroxycinnamoylmethane,C12088,0.72
Adenosine 5'-phosphosulfate,C00224,Adenosine-5'-phosphoselenate,C05686,0.821428571429
"3,4-Dihydroxybenzoate",C00230,"2,5-Dihydroxybenzoate",C00628,0.857142857143
"3,4-Dihydroxybenzoate",C00230,"3,4,5-Trihydroxybenzoate",C01424,0.833333333333
"3,4-Dihydroxybenzoate",C00230,3-Hydroxybenzoate,C00587,0.761904761905
"3,4-Dihydroxybenzoate",C00230,"3,4-Dihydroxymandelate",C05580,0.727272727273
"3,4-Dihydroxybenzoic acid",C00230,"3,4-Dihydroxycinnamic acid",C01481,0.769230769231
"3,4-Dihydroxybenzoic acid",C00230,"3,4-Dihydroxyphenylacetic acid",C01161,0.7
D-Xylulose 5-phosphate,C00231,L-Xylulose 5-phosphate,C03291,0.909090909091
D-Xylulose 5-phosphate,C00231,L-Ribulose 5-phosphate,C01101,0.818181818182
D-Xylulose 5-phosphate,C00231,D-Xylose-5-phosphate,C06814,0.772727272727
D-Xylulose 5-phosphate,C00231,D-Xylitol 5-phosphate,C02895,0.727272727273
D-Xylulose 5-phosphate,C00231,1-Deoxy-D-xylulose 5-phosphate,C11437,0.7
Succinate semialdehyde,C00232,Adipate semialdehyde,C06102,0.772727272727
Succinate semialdehyde,C00232,Tartronate semialdehyde,C01146,0.739130434783
Succinate semialdehyde,C00232,Glutarate semialdehyde,C03273,0.727272727273
4-Oxobutanoate,C00232,4-Aminobutanoate,C00334,0.75
4-Oxobutanoate,C00232,4-Hydroxybutanoate,C00989,0.722222222222
4-Oxobutanoate,C00232,Isobutanoate,C02632,0.714285714286
4-Methyl-2-oxopentanoate,C00233,3-Carboxy-4-methyl-2-oxopentanoate,C04236,0.705882352941
4-Methyl-2-oxopentanoate,C00233,3-Methyl-2-oxopentanoate,C03465,0.916666666667
4-Methyl-2-oxopentanoate,C00233,(S)-3-Methyl-2-oxopentanoate,C00671,0.785714285714
4-Methyl-2-oxopentanoate,C00233,4-Hydroxy-2-oxopentanoate,C03589,0.72
4-Methyl-2-oxopentanoate,C00233,5-Amino-2-oxopentanoate,C01110,0.708333333333
10-Formyltetrahydrofolate,C00234,5-Formyltetrahydrofolate,C03479,0.88
10-Formyltetrahydrofolate,C00234,5-Methyltetrahydrofolate,C00440,0.76
10-Formyltetrahydrofolate,C00234,"5,10-Methenyltetrahydrofolate",C00445,0.724137931034
10-Formyltetrahydrofolate,C00234,5-Formimidoyltetrahydrofolate,C00664,0.724137931034
Monoprenyl diphosphate,C00235,Geranyl diphosphate,C00341,0.727272727273
"1,3-Bisphospho-D-glycerate",C00236,"2,3-Bisphospho-D-glycerate",C01159,0.884615384615
"1,3-Bisphospho-D-glycerate",C00236,"Cyclic 2,3-bisphospho-D-glycerate",C06189,0.727272727273
Deoxycytidine monophosphate,C00239,Deoxyuridine monophosphate,C00365,0.851851851852
Deoxycytidine monophosphate,C00239,Deoxyadenosine monophosphate,C00360,0.75
Deoxycytidine monophosphate,C00239,Deoxyguanosine monophosphate,C00362,0.75
Deoxycytidine monophosphate,C00239,Thymidine monophosphate,C00364,0.740740740741
Lactose,C00243,Galactose,C01582,0.777777777778
1-beta-D-Galactopyranosyl-4-alpha-D-glucopyranose,C00243,1-beta-D-Glucopyranosyl-4-alpha-D-glucopyranose,C06421,0.877551020408
Taurine,C00245,Daturine,C02046,0.75
Butanoic acid,C00246,2-Oxobutanoic acid,C00109,0.722222222222
Butanoic acid,C00246,3-Oxobutanoic acid,C00164,0.722222222222
Butanoate,C00246,Isobutanoate,C02632,0.75
L-Sorbose,C00247,L-Sorbose 1P,C02888,0.75
L-Sorbose,C00247,D-Sorbose,C00764,0.777777777778
L-xylo-Hexulose,C00247,lyxo-Hexulose,C00795,0.733333333333
Hexadecanoate,C00249,Tetradecanoate,C06424,0.785714285714
Palmitic acid,C00249,Palmitoleic acid,C08362,0.75
Pyridoxal,C00250,Isopyridoxal,C06051,0.75
Pyridoxal,C00250,Pyridoxol,C00314,0.777777777778
Chorismate,C00251,Isochorismate,C00885,0.769230769231
Nicotinic acid,C00253,Isonicotinic acid,C07446,0.823529411765
Nicotinic acid,C00253,Nicotinuric acid,C05380,0.8125
Vitamin B2,C00255,Vitamin D2,C05441,0.8
Vitamin B2,C00255,Vitamin BT,C00318,0.7
Vitamin B2,C00255,Vitamin B1,C00378,0.7
Vitamin B2,C00255,Vitamin A,C00473,0.7
L-Arabinose,C00259,UDP-L-arabinose,C00935,0.733333333333
L-Arabinopyranose,C00259,L-Arabinofuranose,C06115,0.764705882353
Hypoxanthine,C00262,Alloxanthine,C07599,0.75
"threo-1,4-Dimercapto-2,3-butanediol",C00265,"erythro-1,4-Dimercapto-2,3-butanediol",C00950,0.864864864865
Hydroxyacetaldehyde,C00266,Indoleacetaldehyde,C00637,0.736842105263
Hydroxyacetaldehyde,C00266,Chloroacetaldehyde,C06754,0.736842105263
Hydroxyacetaldehyde,C00266,2-Bromoacetaldehyde,C14870,0.736842105263
alpha-D-Glucose,C00267,GDP-alpha-D-glucose,C00394,0.789473684211
alpha-D-Glucose,C00267,dTDP-alpha-D-glucose,C00842,0.75
Dihydrobiopterin,C00268,"7,8-Dihydrobiopterin",C02953,0.8
Dihydrobiopterin,C00268,Tetrahydrobiopterin,C00272,0.736842105263
N-Acetylneuraminate,C00270,"N,4-O-Diacetylneuraminate",C04015,0.72
N-Acetylneuraminate,C00270,"N,7-O-Diacetylneuraminate",C04016,0.72
N-Acetylneuraminate,C00270,"N,9-O-Diacetylneuraminate",C04017,0.72
N-Acetylneuraminate,C00270,N-Glycolylneuraminate,C03410,0.714285714286
Tetrahydrobiopterin,C00272,"7,8-Dihydrobiopterin",C02953,0.7
"5,6,7,8-Tetrahydrobiopterin",C00272,"5,6,7,8-Tetrahydromethanopterin",C01217,0.774193548387
"5,6,7,8-Tetrahydrobiopterin",C00272,"5,6,7,8-Tetrahydropteridine",C05650,0.740740740741
5-Dehydro-D-fructose,C00273,"1,5-Anhydro-D-fructose",C06485,0.772727272727
D-Mannose 6-phosphate,C00275,D-Mannose 1-phosphate,C00636,0.857142857143
D-Mannose 6-phosphate,C00275,D-Tagatose 6-phosphate,C01097,0.772727272727
D-Mannose 6-phosphate,C00275,D-Allose 6-phosphate,C02962,0.761904761905
D-Mannose 6-phosphate,C00275,D-Hexose 6-phosphate,C02965,0.761904761905
D-Mannose 6-phosphate,C00275,D-Galactose 6-phosphate,C01113,0.739130434783
D-Mannose 6-phosphate,C00275,"D-Mannose 1,6-bisphosphate",C03693,0.730769230769
D-Mannose 6-phosphate,C00275,D-Fructose 6-phosphate,C00085,0.727272727273
D-Erythrose 4-phosphate,C00279,D-Erythrulose 4-phosphate,C03604,0.84
D-Erythrose 4-phosphate,C00279,Iminoerythrose 4-phosphate,C12215,0.807692307692
D-Erythrose 4-phosphate,C00279,D-Erythritol 4-phosphate,C03494,0.75
D-Erythrose 4-phosphate,C00279,D-Threose 4-phosphate,C03109,0.739130434783
Androstenedione,C00280,19-Oxoandrostenedione,C05297,0.714285714286
Androstenedione,C00280,19-Norandrostenedione,C14500,0.714285714286
Androstenedione,C00280,Androstanedione,C00674,0.866666666667
Androstenedione,C00280,Androstenediol,C04295,0.8
Androstenedione,C00280,Androstanediol,C07632,0.733333333333
"Androst-4-ene-3,17-dione",C00280,"Androst-4-ene-3,17-dione-11beta-ol",C05284,0.705882352941
"4-Androstene-3,17-dione",C00280,"5beta-Androstane-3,17-dione",C03772,0.740740740741
Hydrogen sulfide,C00283,Hydrogen sulfite,C11481,0.875
Hydrogen sulfide,C00283,Hydrogen selenide,C01528,0.764705882353
Hydrogen sulfide,C00283,Hydrogen chloride,C01327,0.705882352941
2'-Deoxyguanosine 5'-triphosphate,C00286,2'-Deoxyguanosine 5'-diphosphate,C00361,0.909090909091
2'-Deoxyguanosine 5'-triphosphate,C00286,2'-Deoxyguanosine 5'-phosphate,C00362,0.878787878788
2'-Deoxyguanosine 5'-triphosphate,C00286,2'-Deoxyinosine-5'-triphosphate,C01345,0.848484848485
Phenylamine,C00292,Diphenylamine,C11016,0.846153846154
Arylamine,C00292,Tryptamine,C00398,0.7
Creatine,C00300,Creatinine,C00791,0.7
Methylglycocyamine,C00300,N-Ethylglycocyamine,C02852,0.842105263158
Glutamate,C00302,Isoglutamate,C05574,0.75
2-Aminoglutaric acid,C00302,2-Aminoglutaramic acid,C00303,0.863636363636
2-Aminoglutaric acid,C00302,L-2-Aminoglutaramic acid,C00064,0.791666666667
2-Aminoglutaric acid,C00302,D-2-Aminoglutaramic acid,C00819,0.791666666667
Glutamine,C00303,D-Glutamine,C00819,0.818181818182
Glutamine,C00303,Isoglutamine,C16673,0.75
2-Aminoglutaramic acid,C00303,D-2-Aminoglutaric acid,C00217,0.772727272727
D-Ribulose,C00309,L-Ribulose,C00508,0.8
D-erythro-2-Pentulose,C00309,D-erythro-Hexulose,C06468,0.714285714286
D-Xylulose,C00310,L-Xylulose,C00312,0.8
D-threo-Pentulose,C00310,D-threo-Tetrose,C06463,0.705882352941
Isocitrate,C00311,Homoisocitrate,C05662,0.714285714286
Isocitrate,C00311,Homocitrate,C01251,0.727272727273
Pyridoxine,C00314,Pyridoxamine,C00534,0.75
Pyridoxine,C00314,Pyridine,C00747,0.7
Spermidine,C00315,Norspermidine,C03375,0.769230769231
Spermidine,C00315,Homospermidine,C06366,0.714285714286
L-Carnitine,C00318,D-Carnitine,C15025,0.818181818182
L-Carnitine,C00318,Carnitine,C00487,0.727272727273
Vitamin BT,C00318,Vitamin B1,C00378,0.7
Vitamin BT,C00318,Vitamin A,C00473,0.7
Vitamin BT,C00318,Vitamin K1,C02059,0.7
2-Oxoadipate,C00322,3-Oxoadipate,C00846,0.833333333333
Ferricyanide,C00324,Ferrocyanide,C01913,0.833333333333
Ferricyanide,C00324,Ferric cyanide,C12217,0.785714285714
L-Kynurenine,C00328,Kynurenine,C01718,0.75
D-Glucosamine,C00329,beta-D-Glucosamine,C08349,0.722222222222
2-Amino-2-deoxy-D-glucose,C00329,2-Amino-2-deoxy-D-gluconate,C03752,0.814814814815
2-Amino-2-deoxy-D-glucose,C00329,"2-Amino-2,6-dideoxy-D-glucose",C15479,0.793103448276
2'-Deoxyguanosine,C00330,2'-Deoxyadenosine,C00559,0.764705882353
2'-Deoxyguanosine,C00330,2'-Deoxycytosine,C02026,0.705882352941
(Indol-3-yl)pyruvate,C00331,(Indol-3-yl)acetate,C00954,0.7
D-Galacturonate,C00333,UDP-D-galacturonate,C00617,0.789473684211
D-Galacturonate,C00333,dTDP-D-galacturonate,C03034,0.75
D-Galacturonate,C00333,Digalacturonate,C02273,0.866666666667
4-Aminobutanoate,C00334,4-Aminobutanal,C00555,0.75
4-Aminobutanoate,C00334,4-Guanidinobutanoate,C01035,0.75
4-Aminobutanoate,C00334,4-Acetamidobutanoate,C02946,0.75
4-Aminobutanoate,C00334,"L-2,4-Diaminobutanoate",C03283,0.727272727273
4-Aminobutanoate,C00334,(S)-2-Aminobutanoate,C02356,0.7
4-Aminobutyrate,C00334,D-2-Aminobutyrate,C02261,0.764705882353
Geranyl diphosphate,C00341,Farnesyl diphosphate,C00448,0.75
Geranyl diphosphate,C00341,Geranylgeranyl diphosphate,C00353,0.730769230769
Ethanolamine phosphate,C00346,N-Methylethanolamine phosphate,C01210,0.733333333333
Phosphoethanolamine,C00346,Serine phosphoethanolamine,C03872,0.730769230769
2-Methyl-3-oxopropanoate,C00349,2-Hydroxy-3-oxopropanoate,C01146,0.72
2-Methyl-3-oxopropanoate,C00349,2-Methyl-3-oxoadipate,C18307,0.708333333333
3-Oxo-2-methylpropanoate,C00349,3-Amino-2-methylpropanoate,C05145,0.846153846154
3-Oxo-2-methylpropanoate,C00349,3-Hydroxy-2-methylpropanoate,C01188,0.821428571429
3-Oxo-2-methylpropanoate,C00349,2-Amino-2-methylpropanoate,C03665,0.807692307692
3-Oxo-2-methylpropanoate,C00349,(R)-3-Amino-2-methylpropanoate,C01205,0.733333333333
3-Oxo-2-methylpropanoate,C00349,(S)-3-Amino-2-methylpropanoate,C03284,0.733333333333
3-Oxo-2-methylpropanoate,C00349,2-Methylpropanoate,C02632,0.708333333333
Methylmalonate semialdehyde,C00349,(S)-Methylmalonate semialdehyde,C06002,0.838709677419
D-Glucosamine 6-phosphate,C00352,N-Acetyl-D-glucosamine 6-phosphate,C00357,0.705882352941
Geranylgeranyl diphosphate,C00353,Dihydrogeranylgeranyl diphosphate,C17439,0.787878787879
Geranylgeranyl diphosphate,C00353,Tetrahydrogeranylgeranyl diphosphate,C17440,0.722222222222
"D-Fructose 1,6-bisphosphate",C00354,"D-Fructose 2,6-bisphosphate",C00665,0.888888888889
"D-Fructose 1,6-bisphosphate",C00354,"D-Glucose 1,6-bisphosphate",C00660,0.851851851852
"D-Fructose 1,6-bisphosphate",C00354,"D-Tagatose 1,6-bisphosphate",C03785,0.814814814815
"D-Fructose 1,6-bisphosphate",C00354,"beta-D-Fructose 1,6-bisphosphate",C05378,0.78125
"D-Fructose 1,6-bisphosphate",C00354,"D-Mannose 1,6-bisphosphate",C03693,0.777777777778
"3,4-Dihydroxy-L-phenylalanine",C00355,"3,4-Dihydroxy-L-phenylalanyl-AMP",C11462,0.75
3-Hydroxy-L-tyrosine,C00355,N-Hydroxy-L-tyrosine,C03004,0.85
3-Hydroxy-L-tyrosine,C00355,3-Iodo-L-tyrosine,C02515,0.7
3-Hydroxy-3-methylglutaryl-CoA,C00356,3-Hydroxy-3-methylglutarate,C03761,0.766666666667
N-Acetyl-D-glucosamine 6-phosphate,C00357,N-Acetyl-D-glucosamine 1-phosphate,C04256,0.882352941176
N-Acetyl-D-glucosamine 6-phosphate,C00357,"N-Acetyl-D-glucosamine 1,6-bisphosphate",C04461,0.794871794872
N-Acetyl-D-glucosamine 6-phosphate,C00357,N-Acetyl-D-glucosamine 6-sulfate,C04132,0.735294117647
N-Acetyl-D-glucosamine 6-phosphate,C00357,N-Acetyl-D-glucosamine 4-sulfate,C03953,0.705882352941
2'-Deoxyadenosine 5'-monophosphate,C00360,2'-Deoxyguanosine 5'-monophosphate,C00362,0.882352941176
2'-Deoxyadenosine 5'-monophosphate,C00360,Guanosine 5'-monophosphate,C00144,0.705882352941
2'-Deoxyadenosine 5'-monophosphate,C00360,6-Thioxanthine 5'-monophosphate,C16618,0.705882352941
Deoxyadenosine monophosphate,C00360,3'-Adenosine monophosphate,C01367,0.785714285714
Deoxyadenosine monophosphate,C00360,Propionyl-adenosine monophosphate,C05983,0.757575757576
2'-Deoxyguanosine 5'-diphosphate,C00361,2'-Deoxyguanosine 5'-phosphate,C00362,0.90625
2'-Deoxyguanosine 5'-diphosphate,C00361,2'-Deoxyinosine-5'-diphosphate,C01344,0.84375
2'-Deoxyguanosine 5'-monophosphate,C00362,6-Thioxanthine 5'-monophosphate,C16618,0.705882352941
Deoxyguanosine monophosphate,C00362,Deoxyuridine monophosphate,C00365,0.785714285714
Deoxythymidine 5'-diphosphate,C00363,Deoxythymidine 5'-triphosphate,C00459,0.9
Deoxythymidine 5'-diphosphate,C00363,Deoxythymidine 5'-phosphate,C00364,0.896551724138
Deoxythymidine 5'-diphosphate,C00363,2'-Deoxycytidine 5'-diphosphate,C00705,0.774193548387
Deoxythymidine 5'-diphosphate,C00363,2'-Deoxyuridine 5'-diphosphate,C01346,0.733333333333
Thymidine 5'-phosphate,C00364,Orotidine 5'-phosphate,C01103,0.818181818182
Thymidine 5'-phosphate,C00364,Cytidine 2'-phosphate,C03104,0.818181818182
Thymidine 5'-phosphate,C00364,Cytidine 3'-phosphate,C05822,0.818181818182
Thymidine 5'-phosphate,C00364,Pyridoxine 5'-phosphate,C00627,0.782608695652
Thymidine 5'-phosphate,C00364,Uridine 3'-phosphate,C01368,0.772727272727
Thymidine 5'-phosphate,C00364,Uridine 2'-phosphate,C03031,0.772727272727
Thymidine 5'-phosphate,C00364,Deoxyuridine 5'-phosphate,C00365,0.76
Thymidine 5'-phosphate,C00364,Adenosine 5'-phosphate,C00020,0.727272727273
Deoxythymidine 5'-phosphate,C00364,Deoxythymidine 5'-triphosphate,C00459,0.866666666667
Thymidine monophosphate,C00364,Thiamine monophosphate,C01081,0.782608695652
Thymidine monophosphate,C00364,Guanosine monophosphate,C00144,0.739130434783
Thymidine monophosphate,C00364,Cytidine-5'-monophosphate,C00055,0.72
Deoxyuridine monophosphate,C00365,Deoxyadenosine monophosphate,C00360,0.75
Deoxyuridine 5'-phosphate,C00365,Pseudouridine 5'-phosphate,C01168,0.807692307692
Deoxyuridine 5'-phosphate,C00365,Orotidine 5'-phosphate,C01103,0.76
Deoxyuridine 5'-phosphate,C00365,Pyridoxine 5'-phosphate,C00627,0.72
Uric acid,C00366,Formic acid,C00058,0.727272727273
Sterol,C00370,Hysterol,C16920,0.75
Elastin,C00373,Azelastine,C07768,0.7
Vitamin A aldehyde,C00376,Betaine aldehyde,C00576,0.722222222222
Vitamin B1,C00378,Vitamin A1,C00473,0.8
Vitamin B1,C00378,Vitamin K1,C02059,0.8
Cytosine,C00380,Tyrosine,C00082,0.75
Malonate,C00383,Oxomalonate,C00830,0.727272727273
Carnosine,C00386,Sarcosine,C00213,0.777777777778
Guanosine,C00387,Isoguanosine,C08432,0.75
"3,3',4,5,7-Pentahydroxyflavone",C00389,"3,3',4',5,7,8-Hexahydroxyflavone",C04109,0.8125
"3,3',4,5,7-Pentahydroxyflavone",C00389,"3',4',5,7-Tetrahydroxyflavone",C01514,0.8
"3,3',4,5,7-Pentahydroxyflavone",C00389,"3,4',5,7-Tetrahydroxyflavone",C05903,0.8
"3,3',4,5,7-Pentahydroxyflavone",C00389,"5,7,3',4',5'-Pentahydroxyflavone",C10192,0.78125
"3,3',4,5,7-Pentahydroxyflavone",C00389,"5,7,2',4',5'-Pentahydroxyflavone",C10079,0.75
"3,3',4,5,7-Pentahydroxyflavone",C00389,"3,5,7,2',4'-Pentahydroxyflavone",C10105,0.741935483871
"3,3',4,5,7-Pentahydroxyflavone",C00389,"5,6,7,8,4'-Pentahydroxyflavone",C15031,0.733333333333
"3,3',4,5,7-Pentahydroxyflavone",C00389,"5,6,7,3',4'-Pentahydroxyflavone",C10072,0.709677419355
GDP-glucose,C00394,ADP-glucose,C00498,0.727272727273
GDP-glucose,C00394,CDP-glucose,C00501,0.727272727273
Pyrimidine,C00396,Toxopyrimidine,C01279,0.714285714286
Tobramycin,C00397,Apramycin,C01555,0.7
Nebramycin factir 6,C00397,Nebramycin factor 5,C00825,0.842105263158
